"2021/03/13-17:43 [main] INFO  me.ahn.management.ManagementApplication- Starting ManagementApplication on DESKTOP-D88F0GM with PID 16680 (D:\project\ahn\management\target\classes started by Administrator in D:\project\ahn\management)
""2021/03/13-17:43 [main] INFO  me.ahn.management.ManagementApplication- No active profile set, falling back to default profiles: default
""2021/03/13-17:43 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- No MyBatis mapper was found in '[me.ahn.management]' package. Please check your configuration.
""2021/03/13-17:43 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 443 (https) 80 (http)
""2021/03/13-17:43 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
""2021/03/13-17:43 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet engine: [Apache Tomcat/9.0.35]
""2021/03/13-17:43 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
""2021/03/13-17:43 [main] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 2341 ms
""2021/03/13-17:43 [main] INFO  com.zaxxer.hikari.HikariDataSource- HikariPool-1 - Starting...
""2021/03/13-17:43 [main] WARN  com.zaxxer.hikari.util.DriverDataSource- Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2021/03/13-17:43 [main] INFO  com.zaxxer.hikari.HikariDataSource- HikariPool-1 - Start completed.
""2021/03/13-17:43 [main] INFO  me.ahn.management.config.DatabaseConfig- datasource:>>>>>>HikariDataSource (HikariPool-1)
""2021/03/13-17:43 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
""2021/03/13-17:43 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 443 (https) 80 (http) with context path ''
""2021/03/13-17:43 [main] INFO  me.ahn.management.ManagementApplication- Started ManagementApplication in 5.956 seconds (JVM running for 7.709)
""2021/03/13-17:48 [https-jsse-nio-443-exec-8] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021/03/13-17:48 [https-jsse-nio-443-exec-8] INFO  org.springframework.web.servlet.DispatcherServlet- Initializing Servlet 'dispatcherServlet'
""2021/03/13-17:48 [https-jsse-nio-443-exec-8] INFO  org.springframework.web.servlet.DispatcherServlet- Completed initialization in 9 ms
""2021/03/13-17:48 [https-jsse-nio-443-exec-4] WARN  org.springframework.web.servlet.PageNotFound- No mapping for GET /favicon.ico
